ID Pergunta,Pergunta,RAM (GB),VRAM (GB),Tempo (s),Tokens Gerados,TPS,Temp Max (C),Consumo (Wh)
39,Como se faz churrasco no estilo gaúcho?,20.51,21.51,6.72,111,16.51,50.0,0.559735
40,Qual a diferença entre polenta mole e polenta frita?,20.51,21.51,3.46,57,16.46,50.0,0.284169
41,Por que o céu é azul?,20.51,21.51,4.84,80,16.52,50.0,0.399871
42,O que causa os furacões?,20.51,21.51,3.47,57,16.44,50.0,0.284112
43,Qual a diferença entre meteoro e meteorito?,20.51,21.51,3.82,63,16.49,50.0,0.312823
44,Como funciona a fotossíntese?,20.51,21.51,4.43,73,16.47,50.0,0.367165
45,O que é um buraco negro?,20.51,21.51,2.98,49,16.45,50.0,0.243689
46,Qual a velocidade da luz no vácuo?,20.51,21.51,4.18,69,16.50,50.0,0.343808
47,Por que sentimos frio no inverno?,20.51,21.51,5.21,86,16.50,50.0,0.433633
48,O que são placas tectônicas?,20.51,21.51,3.49,57,16.32,50.0,0.285602
49,Como o som se propaga no espaço?,20.51,21.51,3.03,61,20.14,50.0,0.255332
50,O que é energia renovável?,20.51,21.51,2.41,50,20.77,50.0,0.209070
51,"Se um trem sai às 14h a 80 km/h e outro sai às 15h a 100 km/h na mesma direção, em que horário o segundo alcança o primeiro?",20.51,21.51,5.60,117,20.88,50.0,0.485318
52,"Tenho três caixas, uma com maçãs, outra com laranjas e outra com as duas frutas misturadas, mas todas as etiquetas estão erradas. Tirando uma fruta de uma caixa, como descubro o conteúdo de todas?",20.51,21.51,10.76,226,21.00,50.0,0.943908
53,"Qual o próximo número da sequência: 2, 6, 12, 20, 30, ...?",20.51,21.51,1.37,28,20.44,50.0,0.112867
54,"Um fazendeiro precisa atravessar um rio levando uma raposa, uma galinha e um saco de milho, mas o barco só leva um item por vez e nada pode ficar sozinho com o que come. Como ele resolve isso?",20.51,21.51,2.00,41,20.54,50.0,0.167674
55,"Se hoje é quarta-feira, que dia da semana será daqui a 100 dias?",20.51,21.51,2.93,61,20.83,50.0,0.250771
56,Dois relógios batem juntos ao meio-dia. Um atrasa 2 minutos por hora e o outro adianta 1 minuto por hora. Quando voltarão a bater juntos?,20.51,21.51,5.60,117,20.89,50.0,0.485683
57,Quantos triângulos existem dentro de um pentágono se traçarmos todas as diagonais?,20.51,21.51,5.39,113,20.96,50.0,0.466376
58,"Se 5 máquinas fazem 5 peças em 5 minutos, quanto tempo 100 máquinas levam para fazer 100 peças?",20.51,21.51,2.99,62,20.74,50.0,0.253922
59,Um número par mais um número ímpar sempre resulta em quê?,20.51,21.51,0.98,20,20.32,50.0,0.078460
60,"Se a probabilidade de chover amanhã é 30%, qual a chance de não chover?",20.51,21.51,1.46,30,20.57,50.0,0.122179
61,O que é uma GPU e por que ela é importante para IA?,20.51,21.51,3.17,66,20.85,50.0,0.269738
62,Explica o que é overfitting em treinamento de modelos.,20.51,21.51,3.26,68,20.86,50.0,0.279330
63,O que significa 'fine-tuning' de um modelo de linguagem?,20.51,21.51,2.93,61,20.81,50.0,0.249117
64,Por que modelos de IA precisam de tanta memória?,20.51,21.51,2.21,46,20.77,50.0,0.188753
65,O que é um LoRA no contexto de treinamento de modelos?,20.51,21.51,2.89,60,20.79,50.0,0.244747
66,Qual a diferença entre CPU e GPU no processamento de dados?,20.51,21.51,5.01,105,20.95,50.0,0.432835
67,O que é um supercomputador?,20.51,21.51,3.45,72,20.87,50.0,0.295068
68,Como funciona o processo de tokenização em modelos de linguagem?,20.51,21.51,2.41,50,20.78,50.0,0.205166
69,O que é VRAM e por que ela é um gargalo em treinamentos?,20.51,21.51,4.06,85,20.92,50.0,0.352154
70,Explica de forma simples o que é uma rede neural.,20.51,21.51,3.41,71,20.83,50.0,0.290103
81,Quais foram as principais causas da Inconfidência Mineira?,20.51,21.51,2.83,59,20.81,50.0,0.243988
82,Como está organizada politicamente a federação brasileira?,20.51,21.51,1.51,31,20.59,50.0,0.124394
83,O que foi o Ciclo do Ouro no Brasil colonial?,20.51,21.51,3.51,73,20.82,50.0,0.303961
84,Quais são as regiões geográficas do Brasil?,20.51,21.51,1.32,27,20.51,50.0,0.109703
85,O que caracteriza o bioma da Mata Atlântica?,20.51,21.51,3.40,71,20.85,50.0,0.289065
86,Qual foi a importância da Proclamação da República?,20.51,21.51,2.69,56,20.79,50.0,0.230237
87,O que é o Congresso Nacional e como ele é dividido?,20.51,21.51,1.93,38,19.69,50.0,0.160165
88,Quais rios formam a Bacia Amazônica?,20.51,21.51,2.62,43,16.43,50.0,0.214003
89,O que foi a Revolta da Vacina?,20.51,21.51,4.01,66,16.46,50.0,0.329254
90,Como funciona o sistema de eleições no Brasil?,20.51,21.51,3.58,59,16.49,50.0,0.293583
